genre,gamename,description,min,max,link,image
BOARD GAMES,13 Days: The Cuban Missile Crisis,1v1 history-themed strategy game,2,2,https://chantry-games.com/ ,13-days
BOARD GAMES,7 Wonders Duel ,1v1 version of empire-building drafting game 7 Wonders,2,2,https://sevenee.mattle.online/welcome,seven-wonders-duel
BOARD GAMES,Acquire ,tile placement business strategy game,2,6,https://acquire.tlstyer.com/,acquire
BOARD GAMES,Advanced Civilization,Mediterranean Empire-building game for history buffs and novices alike,2,8,http://civ.rol-play.com ,advanced-civilization
BOARD GAMES,Agricola ,Compete to build the best farm,1,5,http://play-agricola.com/,agricola
BOARD GAMES,Azul ,strategic tile placement game,2,4,https://azee.mattle.online/,azul
BOARD GAMES,Backgammon ,"It's backgammon, the game everyone remembers but doesn't know",2,2,http://dailygammon.com/,backgammon
BOARD GAMES,Battleship ,The infamous 2-player guessing game,2,2,http://en.battleship-game.org/,battleship
BOARD GAMES,Blokus ,It's that game,2,4,https://blokee.mattle.online/,blokus
BOARD GAMES,Board Game Online ,I can't tell what's going on. Fun tho,1,16,https://www.boardgame-online.com/,board-game-online
BOARD GAMES,Brass ,Industrial Revolution-themed empire builder,2,4,http://brass.orderofthehammer.com/,brass
BOARD GAMES,Carcassone,tile placement farming simulator,2,5,https://concarneau.herokuapp.com/,carcassone
BOARD GAMES,Century: Spice Road,Harvest spices for points and power,2,5,https://spicee.mattle.online/,century-spice-road
BOARD GAMES,Checkers ,1v1 game. You know checkers,2,2,http://playingcards.io/game/checkers,checkers
BOARD GAMES,Chess ,100% skill,2,2,https://lichess.org/,chess
BOARD GAMES,Connect 4,tic tac toe 2.0,2,2,https://c4arena.com ,connect-4
BOARD GAMES,Decrypto ,try to decode your enemies motives in this team-based puzzle game,3,8,https://whoawhoa.github.io/decrypto/,decrypto
BOARD GAMES,Dice Wars,conquer the world… with dice,2,8,https://qdice.wtf/planeta ,dice-wars
BOARD GAMES,Diplomacy ,"Historical strategy game. Simple to learn, difficult to master",2,7,http://webdiplomacy.net/,diplomacy
BOARD GAMES,Dominion ,the classic deck-building game,2,4,https://dominion.games/,dominion
BOARD GAMES,Draughts ,British checkers,2,2,https://www.playok.com/en/draughts/,draughts
